DesilKesejahteraan,PrioritasVerval,JenisKelamin,HubungaKepalaKeluarga,Pekerjaan,Usia2023,PenerimaSEMBAKO
1,1,0,2,0,40,0
1,1,1,1,1,39,1
1,1,0,0,1,16,0
1,1,0,0,1,8,0
1,1,0,0,1,19,0
1,1,0,2,2,43,0
1,1,1,1,1,39,1
1,1,0,0,1,9,0
1,1,1,0,1,15,0
1,1,1,3,0,68,0
1,1,0,2,0,35,0
1,1,1,1,3,36,0
1,1,0,0,1,6,0
1,1,0,0,1,10,0
1,1,1,3,1,66,1
1,0,0,2,3,37,0
1,0,1,1,1,32,0
1,0,1,0,1,6,0
1,0,1,0,1,6,0
1,0,0,0,1,9,0
1,0,1,0,1,15,0
1,0,0,2,3,36,0
1,1,1,1,1,35,0
1,0,1,0,1,7,0
1,0,0,0,1,8,0
1,0,1,0,1,14,0
1,0,0,2,3,37,0
1,0,1,1,3,37,0
1,0,1,0,1,8,0
1,0,0,0,1,11,0
1,1,0,2,0,32,0
1,0,1,1,1,27,0
1,1,1,0,1,4,0
1,1,1,0,1,11,0
1,1,0,2,2,37,0
1,0,1,1,1,35,0
1,0,1,0,1,11,0
1,0,1,0,1,9,0
1,1,1,0,1,6,0
1,0,0,0,1,5,0
1,0,0,2,2,37,0
1,0,1,1,4,37,0
1,0,0,0,1,11,0
1,0,1,0,1,8,0
1,1,0,2,2,52,0
1,1,1,1,1,45,1
1,0,0,0,1,11,0
1,1,0,0,1,9,0
1,1,0,0,1,3,0
1,1,1,3,4,71,1
1,1,1,2,5,66,1
1,1,1,3,5,63,0
1,1,0,3,5,62,0
1,1,1,3,5,58,0
1,1,0,2,0,70,1
1,1,1,1,1,67,1
1,1,1,0,2,38,0
1,1,1,3,1,10,0
1,1,1,2,4,49,1
1,1,1,0,0,21,0
1,1,1,0,1,18,0
1,1,1,3,1,77,1
1,1,0,2,5,76,0
1,1,0,0,5,40,0
1,1,0,0,5,32,0
1,1,0,0,5,28,0
1,1,0,0,2,30,0
1,1,0,2,5,51,0
1,1,1,1,5,48,0
1,1,0,0,2,26,0
1,1,0,0,2,24,0
1,1,1,0,1,13,0
1,1,1,3,2,76,0
1,0,0,2,4,63,1
1,0,1,1,2,56,0
1,1,0,0,3,31,0
1,1,0,0,2,28,0
1,1,0,2,0,65,1
1,1,1,1,0,45,0
1,1,0,0,1,13,0
1,1,0,0,1,11,0
1,1,1,0,1,9,0
1,1,1,3,2,26,0
1,1,0,3,1,16,0
1,0,0,2,3,37,0
1,0,1,1,1,32,0
1,0,1,0,1,15,0
1,0,0,0,1,9,0
1,0,1,0,1,6,0
1,0,1,0,1,6,0
1,1,0,2,3,47,0
1,1,1,1,3,39,1
1,1,1,0,1,14,0
1,1,1,0,1,9,0
1,1,1,3,1,77,1
1,1,0,2,1,62,1
1,1,1,1,1,54,1
1,1,0,0,2,28,0
1,1,1,0,1,20,0
1,1,1,0,1,18,0
1,1,0,2,4,58,0
1,1,1,1,1,58,0
1,1,0,0,2,26,0
1,1,0,0,1,23,0
1,1,0,0,1,21,0
1,1,0,2,1,47,0
1,1,1,1,0,46,0
1,1,0,0,1,17,0
1,1,0,0,1,9,0
1,1,0,2,0,48,0
1,1,1,1,3,42,0
1,1,1,0,3,21,0
1,1,0,0,1,14,0
1,1,1,0,1,11,0
1,1,0,2,0,40,0
1,0,1,1,3,40,0
1,1,0,0,1,16,0
1,1,0,0,1,11,0
1,1,0,0,1,10,0
1,1,1,0,1,8,0
1,1,0,0,1,1,0
1,1,0,2,0,39,0
1,1,1,1,1,42,1
1,1,1,0,1,11,0
1,1,1,0,1,5,0
1,1,0,0,1,3,0
1,1,0,2,2,42,0
1,0,1,1,1,41,0
1,1,0,0,1,16,0
1,1,1,0,1,8,0
1,1,0,2,2,54,0
1,1,1,1,1,49,0
1,1,0,0,1,24,0
1,1,1,0,1,18,0
1,1,0,2,3,53,0
1,1,1,1,1,44,0
1,1,1,0,3,25,0
1,0,0,0,1,23,0
1,1,1,0,1,20,0
1,1,1,0,1,18,0
1,1,0,2,0,46,0
1,1,1,1,1,45,1
1,1,0,0,3,22,0
1,1,0,0,0,15,0
1,1,0,2,3,52,0
1,1,1,1,1,49,0
1,1,0,0,1,22,0
1,1,0,2,1,62,0
1,1,1,1,1,53,0
1,1,0,2,0,44,0
1,0,1,1,0,41,0
1,1,1,0,2,19,0
1,1,0,0,1,11,0
1,1,0,2,0,67,0
1,1,1,1,0,63,0
1,1,0,2,3,56,0
1,1,1,1,4,55,1
1,1,1,0,3,28,0
1,1,1,3,1,87,1
1,1,0,2,0,58,0
1,0,1,1,0,55,0
1,1,0,0,2,29,0
1,1,1,0,3,22,0
1,1,1,2,1,53,1
1,1,0,0,1,31,0
1,1,0,0,4,30,0
1,1,0,0,4,24,0
1,1,0,0,3,21,0
1,1,1,0,1,13,0
1,1,0,2,4,71,0
1,1,1,1,4,58,0
1,1,0,0,0,40,0
1,1,0,0,4,26,0
1,1,1,0,1,21,0
1,1,1,3,0,58,0
1,1,0,2,2,50,0
1,1,1,1,2,51,0
1,1,0,0,3,22,0
1,1,0,0,1,20,0
1,0,0,2,3,40,0
1,0,1,1,1,40,0
1,0,1,0,1,11,0
1,0,0,0,1,10,0
1,0,1,0,1,8,0
1,0,1,0,1,6,0
1,1,0,2,4,64,0
1,1,1,1,1,52,0
1,1,0,0,1,22,0
1,1,0,0,1,19,0
1,1,1,0,1,11,0
1,1,0,2,0,38,0
1,1,1,1,1,28,0
1,1,0,0,1,8,0
1,1,0,2,3,48,0
1,1,1,1,1,41,0
1,1,1,0,1,20,0
1,1,1,0,1,11,0
1,1,0,0,1,9,0
1,1,0,2,2,53,0
1,1,1,1,0,34,0
1,1,0,0,1,9,0
1,1,1,2,1,88,1
1,1,1,0,0,51,0
1,1,0,2,2,52,0
1,1,1,1,1,39,0
1,1,1,0,2,26,0
1,1,1,0,1,22,0
1,1,1,0,1,12,0
1,0,0,2,3,57,0
1,0,1,1,1,50,0
1,1,1,0,1,23,0
1,1,0,2,0,71,0
1,1,1,1,0,69,1
1,1,1,0,1,30,0
1,0,1,2,0,46,1
1,0,0,0,1,21,1
1,1,1,0,1,9,0
1,1,0,2,0,62,0
1,1,1,1,1,55,1
1,1,0,0,0,22,0
1,1,1,0,2,17,0
1,1,0,0,1,15,0
1,1,1,3,1,41,0
1,1,0,2,0,56,0
1,1,1,1,0,52,1
1,0,0,0,2,24,0
