"No","Kecamatan","DesilKesejahteraan","PrioritasVerval","JenisKelamin","HubungaKepalaKeluarga","Pekerjaan","Usia2023","PenerimaSEMBAKO"
"47737","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","40","Tidak"
"47738","KOTA KUDUS","1","Normal","Perempuan","Istri","1","39","Ya"
"47739","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","16","Tidak"
"47740","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","8","Tidak"
"47741","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","19","Tidak"
"47742","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","43","Tidak"
"47743","KOTA KUDUS","1","Normal","Perempuan","Istri","1","39","Ya"
"47744","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","9","Tidak"
"47745","KOTA KUDUS","1","Normal","Perempuan","Anak","1","15","Tidak"
"47746","KOTA KUDUS","1","Normal","Perempuan","Lainnya","0","68","Tidak"
"47747","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","35","Tidak"
"47748","KOTA KUDUS","1","Normal","Perempuan","Istri","3","36","Tidak"
"47749","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","6","Tidak"
"47750","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","10","Tidak"
"47751","KOTA KUDUS","1","Normal","Perempuan","Lainnya","1","66","Ya"
"47752","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","3","37","Tidak"
"47753","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","32","Tidak"
"47754","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","6","Tidak"
"47755","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","6","Tidak"
"47756","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","9","Tidak"
"47757","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","15","Tidak"
"47758","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","3","36","Tidak"
"47759","KOTA KUDUS","1","Normal","Perempuan","Istri","1","35","Tidak"
"47760","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","7","Tidak"
"47761","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","8","Tidak"
"47762","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","14","Tidak"
"47763","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","3","37","Tidak"
"47764","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","3","37","Tidak"
"47765","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","8","Tidak"
"47766","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","11","Tidak"
"47767","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","32","Tidak"
"47768","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","27","Tidak"
"47769","KOTA KUDUS","1","Normal","Perempuan","Anak","1","4","Tidak"
"47770","KOTA KUDUS","1","Normal","Perempuan","Anak","1","11","Tidak"
"47771","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","37","Tidak"
"47772","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","35","Tidak"
"47773","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","11","Tidak"
"47774","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","9","Tidak"
"47775","KOTA KUDUS","1","Normal","Perempuan","Anak","1","6","Tidak"
"47776","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","5","Tidak"
"47777","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","2","37","Tidak"
"47778","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","4","37","Tidak"
"47779","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","11","Tidak"
"47780","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","8","Tidak"
"47781","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","52","Tidak"
"47782","KOTA KUDUS","1","Normal","Perempuan","Istri","1","45","Ya"
"47783","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","11","Tidak"
"47784","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","9","Tidak"
"47785","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","3","Tidak"
"47786","KOTA KUDUS","1","Normal","Perempuan","Lainnya","4","71","Ya"
"47787","KOTA KUDUS","1","Normal","Perempuan","Kepala Keluarga","5","66","Ya"
"47788","KOTA KUDUS","1","Normal","Perempuan","Lainnya","5","63","Tidak"
"47789","KOTA KUDUS","1","Normal","Laki-laki","Lainnya","5","62","Tidak"
"47790","KOTA KUDUS","1","Normal","Perempuan","Lainnya","5","58","Tidak"
"47791","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","70","Ya"
"47792","KOTA KUDUS","1","Normal","Perempuan","Istri","1","67","Ya"
"47793","KOTA KUDUS","1","Normal","Perempuan","Anak","2","38","Tidak"
"47794","KOTA KUDUS","1","Normal","Perempuan","Lainnya","1","10","Tidak"
"47795","KOTA KUDUS","1","Normal","Perempuan","Kepala Keluarga","4","49","Ya"
"47796","KOTA KUDUS","1","Normal","Perempuan","Anak","0","21","Tidak"
"47797","KOTA KUDUS","1","Normal","Perempuan","Anak","1","18","Tidak"
"47798","KOTA KUDUS","1","Normal","Perempuan","Lainnya","1","77","Ya"
"47799","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","5","76","Tidak"
"47800","KOTA KUDUS","1","Normal","Laki-laki","Anak","5","40","Tidak"
"47801","KOTA KUDUS","1","Normal","Laki-laki","Anak","5","32","Tidak"
"47802","KOTA KUDUS","1","Normal","Laki-laki","Anak","5","28","Tidak"
"47803","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","30","Tidak"
"47804","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","5","51","Tidak"
"47805","KOTA KUDUS","1","Normal","Perempuan","Istri","5","48","Tidak"
"47806","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","26","Tidak"
"47807","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","24","Tidak"
"47808","KOTA KUDUS","1","Normal","Perempuan","Anak","1","13","Tidak"
"47809","KOTA KUDUS","1","Normal","Perempuan","Lainnya","2","76","Tidak"
"47810","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","4","63","Ya"
"47811","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","2","56","Tidak"
"47812","KOTA KUDUS","1","Normal","Laki-laki","Anak","3","31","Tidak"
"47813","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","28","Tidak"
"47814","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","65","Ya"
"47815","KOTA KUDUS","1","Normal","Perempuan","Istri","0","45","Tidak"
"47816","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","13","Tidak"
"47817","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","11","Tidak"
"47818","KOTA KUDUS","1","Normal","Perempuan","Anak","1","9","Tidak"
"47819","KOTA KUDUS","1","Normal","Perempuan","Lainnya","2","26","Tidak"
"47820","KOTA KUDUS","1","Normal","Laki-laki","Lainnya","1","16","Tidak"
"47821","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","3","37","Tidak"
"47822","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","32","Tidak"
"47823","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","15","Tidak"
"47824","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","9","Tidak"
"47825","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","6","Tidak"
"47826","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","6","Tidak"
"47827","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","3","47","Tidak"
"47828","KOTA KUDUS","1","Normal","Perempuan","Istri","3","39","Ya"
"47829","KOTA KUDUS","1","Normal","Perempuan","Anak","1","14","Tidak"
"47830","KOTA KUDUS","1","Normal","Perempuan","Anak","1","9","Tidak"
"47831","KOTA KUDUS","1","Normal","Perempuan","Lainnya","1","77","Ya"
"47832","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","1","62","Ya"
"47833","KOTA KUDUS","1","Normal","Perempuan","Istri","1","54","Ya"
"47834","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","28","Tidak"
"47835","KOTA KUDUS","1","Normal","Perempuan","Anak","1","20","Tidak"
"47836","KOTA KUDUS","1","Normal","Perempuan","Anak","1","18","Tidak"
"47837","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","4","58","Tidak"
"47838","KOTA KUDUS","1","Normal","Perempuan","Istri","1","58","Tidak"
"47839","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","26","Tidak"
"47840","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","23","Tidak"
"47841","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","21","Tidak"
"47842","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","1","47","Tidak"
"47843","KOTA KUDUS","1","Normal","Perempuan","Istri","0","46","Tidak"
"47844","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","17","Tidak"
"47845","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","9","Tidak"
"47846","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","48","Tidak"
"47847","KOTA KUDUS","1","Normal","Perempuan","Istri","3","42","Tidak"
"47848","KOTA KUDUS","1","Normal","Perempuan","Anak","3","21","Tidak"
"47849","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","14","Tidak"
"47850","KOTA KUDUS","1","Normal","Perempuan","Anak","1","11","Tidak"
"47851","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","40","Tidak"
"47852","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","3","40","Tidak"
"47853","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","16","Tidak"
"47854","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","11","Tidak"
"47855","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","10","Tidak"
"47856","KOTA KUDUS","1","Normal","Perempuan","Anak","1","8","Tidak"
"47857","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","1","Tidak"
"47858","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","39","Tidak"
"47859","KOTA KUDUS","1","Normal","Perempuan","Istri","1","42","Ya"
"47860","KOTA KUDUS","1","Normal","Perempuan","Anak","1","11","Tidak"
"47861","KOTA KUDUS","1","Normal","Perempuan","Anak","1","5","Tidak"
"47862","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","3","Tidak"
"47863","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","42","Tidak"
"47864","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","41","Tidak"
"47865","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","16","Tidak"
"47866","KOTA KUDUS","1","Normal","Perempuan","Anak","1","8","Tidak"
"47867","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","54","Tidak"
"47868","KOTA KUDUS","1","Normal","Perempuan","Istri","1","49","Tidak"
"47869","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","24","Tidak"
"47870","KOTA KUDUS","1","Normal","Perempuan","Anak","1","18","Tidak"
"47871","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","3","53","Tidak"
"47872","KOTA KUDUS","1","Normal","Perempuan","Istri","1","44","Tidak"
"47873","KOTA KUDUS","1","Normal","Perempuan","Anak","3","25","Tidak"
"47874","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","23","Tidak"
"47875","KOTA KUDUS","1","Normal","Perempuan","Anak","1","20","Tidak"
"47876","KOTA KUDUS","1","Normal","Perempuan","Anak","1","18","Tidak"
"47877","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","46","Tidak"
"47878","KOTA KUDUS","1","Normal","Perempuan","Istri","1","45","Ya"
"47879","KOTA KUDUS","1","Normal","Laki-laki","Anak","3","22","Tidak"
"47880","KOTA KUDUS","1","Normal","Laki-laki","Anak","0","15","Tidak"
